10081;Car Tank 24;Neumann Tankstelle GmbH;Hainburgstr.;40;63110;Rodgau;49.998684;8.87878
10082;Raiffeisenbank im Stiftland eG, Zw Waldsassen;Raiffeisen;Schulstrasse;24;95652;Waldsassen;49.9985;12.3006
10083;AVIA Tankstelle;AVIA;Waldershofer Straße;14;95615;Marktredwitz;49.99834;12.075271
10084;bft-Tankstelle Förster, Lohr;bft;Jahnstr.;21;97816;Lohr;49.99828;9.58119
10085;Raiffeisen Hunsrück Handelsgesellschaft mbH;Raiffeisen;Am Fischlerbach;12-16;55494;Rheinböllen;49.9982;7.67577
10086;Aral Tankstelle;ARAL;Binger Straße;25;55131;Mainz;49.9980545;8.257017
10087;Raiffeisen Hunsrück;Raiffeisen Hunsrück;Am Fischlerbach;4;55494;Rheinböllen;49.9978;7.678
10088;TOTAL MAINZ;TOTAL;SAARSTR.;6;55122;MAINZ;49.997707;8.253618
10089;TOTAL MAINZ;TOTAL;BINGERSTR;27;55131;MAINZ;49.99766;8.256677
10090;Calpam Tankstelle;Calpam;Aschaffenburger Str;58;63801;Kleinostheim;49.99715423584;9.0655031204224
10091;RUESSELSHEIM, RUGBYRING 98.;Shell;RUGBYRING 98;"";65428;RÜSSELSHEIM;49.997128;8.424068
10092;star Tankstelle;STAR;Darmstädter Landstr;11;65462;Ginsheim-Gustavsburg;49.99707;8.31394
10093;UNITOL Tankstelle;Tankstelle;Frankfurter Straße;45;65428;Rüsselsheim;49.9967;8.41757
10094;Aral Tankstelle;ARAL;Bahnhofstraße;"";55494;Rheinböllen;49.9961624;7.68382
10095;Calpam Tankstelle;Calpam;Langener Str.;48;63303;Dreieich;49.995262145996;8.7310228347778
10096;GOLDBACH, ASCHAFFENBURGER ST.;Shell;ASCHAFFENBURGER STR. 16;"";63773;GOLDBACH;49.9948;9.17629
10097;Aral Tankstelle;ARAL;Aschaffenburger Straße;86;63801;Kleinostheim;49.994606;9.06971
10098;LOHR, RECHTENBACHER STR;Shell;RECHTENBACHER STR. 15;"";97816;LOHR;49.9934;9.56657
10099;Lohr Rechtenbacher Strasse 19;OMV;Rechtenbacher Str.;19;97816;Lohr;49.99323;9.56475
10100;Aral Tankstelle;ARAL;Mainzer Straße;95;65428;Rüsselsheim;49.9931641;8.38713
10101;LANGEN, MOERFELDER LAND STR;Shell;MÖRFELDER LANDSTR. 27;"";63225;LANGEN;49.99307;8.64939
10102;Calpam Tankstelle;Calpam;Stockstaedter Str;6;63801;Kleinostheim;49.993030548096;9.0650854110718
10103;TOTAL LANGEN;TOTAL;BERLINER ALLEE;12;63225;LANGEN;49.992264;8.649285
10104;Aral Tankstelle;ARAL;Frankfurter Straße;19;63225;Langen;49.9919243;8.680595
10105;SIMMERN, KOBLENZER STR;Shell;KOBLENZER STR. 103;"";55469;Simmern;49.991878;7.526523
10106;BayWa Tankstelle Knetzgau;BayWa;Industriestr. ;4;97478;Knetzgau;49.9905;10.551216
10107;B-Station;B-Station;Friedrichstr. ;62;54516;Wittlich;49.9903328;6.9069243
10108;T RUESSELSHEIM;T;HASSLOCHER STR.;115;65428;RUESSELSHEIM;49.988743;8.425952
10109;TOTAL WITTLICH;TOTAL;FRIEDRICHSTR.;41;54516;WITTLICH;49.98833;6.899069
10110;Aral Tankstelle;ARAL;Chauvignystraße;15;65366;Geisenheim;49.9882622;7.977877
10111;Bft WITTLICH;Bft;FRIEDRICHSTR.;58;54516;WITTLICH;49.988213;6.90336
10112;Aral Tankstelle;ARAL;Pariser Straße;2;55131;Mainz;49.98786;8.266955
10113;BISCHOFSHEIM, DARMSTAEDTER S.;Shell;DARMSTAEDTER STR. 17;"";65474;Bischofsheim;49.987605;8.355903
10114;Esso Tankstelle;ESSO;AM FLURGRABEN 1-11; ;65462;GINSHEIM-GUSTAVSBURG;49.987566;8.327974
10115;Esso Tankstelle;ESSO;PARISER STR. 1; ;55131;MAINZ;49.987541;8.266238
10116;AVIA Tankstelle;AVIA;Gräfin-Dönhoff-Str. 2;"";65462;Ginsheim-Gustavsburg;49.98742;8.324486
10117;ASCHAFFENBURG, SCHOENBORNSTR.;Shell;SCHÖNBORNSTR. 36;"";63741;Aschaffenburg;49.9872;9.16152
10118;ASCHAFFENBURG, SCHILLERSTR.;Shell;SCHILLERSTR. 58;"";63741;Aschaffenburg;49.9871;9.14009
10119;Hessol Tankst.;Hessol;Schönbornstraße;11;63741;Aschaffenburg;49.9871;9.160152
10120;Aral Tankstelle;ARAL;Friedrich-Ebert-Straße;54;65428;Rüsselsheim;49.9868164;8.416925
10121;Esso Tankstelle;ESSO;WORMSER STR. 7; ;55130;MAINZ;49.986737;8.297171
10122;Aral Tankstelle;ARAL;Weichertstr.;8;63741;Aschaffenburg;49.98668;9.157871
10123;RUESSELSHEIM, HESSENRING.;Shell;HESSENRING 2;"";65428;RÜSSELSHEIM;49.986547;8.450517
10124;Freie Tankstelle Peter Winkler;Kfz-Werkstatt u. Tankstelle Winkler;Haßbergstr. ;36;96148;Baunach;49.9858;10.8492
10125;TOTAL ASCHAFFENBURG;TOTAL;SCHILLERSTR.;80;63741;ASCHAFFENBURG;49.985794;9.135178
10126;Hubel Maria;bft - Walther;Meininger Str. 16 -18;"";97440;Werneck;49.9853;10.10222
10127;Aral Tankstelle;ARAL;Adam-Opel-Straße;47-49;65428;Rüsselsheim;49.98519;8.42917
10128;Ebelsbach Bahnhofstr. 6a;OMV;Bahnhofstr.;6 a;97500;Ebelsbach;49.98454;10.66873
10129;Esso Tankstelle;ESSO;MEININGER STR. 14; ;97440;WERNECK;49.984261;10.101484
10130;Esso Tankstelle;ESSO;KURMAINZSTR. 19; ;55126;MAINZ;49.98379;8.177239
10131;TOTAL MOERFELDEN-WALLDORF;TOTAL;INDUSTRIESTR.;19;64546;MOERFELDEN-WALLDORF;49.983597;8.579311
10132;Kuchenreuther;Tank Plus;Marktredwitzer Str. ;36;95679;Waldershof;49.98347;12.068507
10133;TOTAL MAINZ-FINTHEN;TOTAL;FLUGPLATZSTR.;26;55126;MAINZ-FINTHEN;49.98318;8.170831
10134;ROEDERMARK, FRANKFURTER STR.;Shell;FRANKFURTER STR. 70;"";63322;ROEDERMARK;49.982875;8.823567
10135;Aral Tankstelle;ARAL;Hechtsheimer Straße;4;55131;Mainz;49.98279;8.280189
10136;bft-Tankstelle Förster, Rüsselsheim;bft;Hessenring;50;65428;Rüsselsheim;49.98248;8.44706
10137;SIMMERN, BINGENER STR;Shell;BINGENER STR.;"";55469;Simmern;49.9823;7.53725
10138;Aral Tankstelle;ARAL;Kurfürstenstraße;69;54516;Wittlich;49.98228;6.900637
10139;trend tank GmbH;"";Georg-Schäfer-Straße ;2;97500;Ebelsbach;49.98217;10.67226
10140;JET MAINZ WORMSER STR. 135;JET;WORMSER STR. 135;;55130;MAINZ;49.9820664;8.3059825
10141;KNETZGAU, STEINBRUCH.;Shell;STEINBRUCH 12;"";97478;KNETZGAU;49.981977;10.555362
10142;TOTAL Wittlich G.-Daimler-Str.;TOTAL;GOTTLIEB-DAIMLER-STR.;2;54516;WITTLICH;49.98142;6.901532
10143;Esso Tankstelle;ESSO;GEISENHEIMER STR. 62; ;65385;RUEDESHEIM AM RHEIN;49.981322;7.937932
10144;Raiffeisen Tankstelle Wittlich;Raiffeisen;Rudolf-Diesel-Str.;2;54516;Wittlich;49.981300354004;6.9049491882324
10145;Gerhard Schnitzius;ED;Moselweinstraße;26;54536;Kröv;49.981251;7.090629
10146;Globus Baumarkt Betriebsstätte Wittlich;"";Römerstraße;53;54516;Wittlich;49.98103;6.8909926
10147;Aral Tankstelle;ARAL;In der Quelle;74;63303;Dreieich-Offenthal;49.98103;8.736673
10148;Globus BM-TS Wittlich;Globus Baumarkt;Roemerstrasse ;53;54519;Wittlich;49.981029;6.890993
10149;TOTAL Waldaschaff;TOTAL;AM HEERBACH;1;63857;WALDASCHAFF;49.980904;9.2753725
10150;Esso Tankstelle;ESSO;HANAUER STR. 98; ;63741;ASCHAFFENBURG;49.980901;9.124031
10151;MAINZ, GESCHWISTER SCHOLL-ST.;Shell;GESCHWISTER-SCHOLL-STR. 10;"";55131;Mainz;49.980854;8.269576
10152;SIMMERN, AN DER BLEICHE.;Shell;AN DER BLEICHE 3;"";55469;Simmern;49.98062;7.52057
10153;Supermarkt-Tankstelle am real,- Markt ASCHAFFENBURG HORCHSTR. 120;Supermarkt-Tankstelle am real,- Markt;HORCHSTR. 120;;63741;ASCHAFFENBURG;49.9805;9.11634
10154;Aral Tankstelle;ARAL;Hanauer Straße;64;63739;Aschaffenburg;49.9804535;9.132444
10155;Laub, Inh. Sonja Schares;ED;Rittersdorfer Straße;32;54634;Bitburg;49.980099;6.519825
10156;Bft-Tankstelle Donnersdorf;"";Am Roedertor;24;97499;Donnersdorf;49.980068206787;10.424920082092
10157;TOTAL SCHESSLITZ;TOTAL;AM STEINERNEN KREUZ;1-3;96110;SCHESSLITZ;49.98;11.042786
10158;Tankstelle Lohr;W. Dorst;Bgm.-Dr.-Nebel-Str. ;11a;97816;Lohr;49.979530334473;9.5750751495361
10159;OIL! Tankstelle Rüdesheim;OIL!;Geisenheimer Str. 34-36;;65385;Rüdesheim;49.9795;7.931
10160;budget öl;budget öl;Moselufer;28;54539;Ürzig;49.9792;7.00752
10161;Aral Tankstelle;ARAL;Industriestraße;1;64546;Mörfelden;49.9790764;8.581539
10162;Aral Tankstelle;ARAL;Konrad-Adenauer-Straße;15;55218;Ingelheim;49.97907;8.05402
10163;Aral Tankstelle;ARAL;Mainzer Straße;49a;63303;Dreieich;49.9789658;8.740163
10164;Globus Handelshof GmbH & Co. KG Betriebsstätte Simmern;"";Argenthaler Str.;Str.;55469;Simmern;49.97892;7.5486436
